alpha_clean,aspect_drift,composite,edge_energy_ratio,ink_iou,mode,note,ok,palette_fidelity,slug
1.0,0.0011,0.901,1.0766,0.8754,baseline,prepare+cubic,True,0.964,arc
0.8878,0.0007,0.8852,0.7764,0.9996,baseline,prepare+cubic,True,0.8764,arjae
0.9954,0.0009,0.9142,0.7523,0.9982,baseline,prepare+cubic,True,0.9132,bfl
0.9767,0.0,0.7941,1.4702,0.5357,baseline,prepare+cubic,True,0.9509,bfl_google
0.5628,0.0004,0.8565,0.8889,1.0,baseline,prepare+cubic,True,0.9982,bird
0.99,0.8228,0.7936,1.6949,0.7454,baseline,prepare+cubic,True,1.0,dhv
0.9999,0.0011,0.8963,0.7021,0.9985,baseline,prepare+cubic,True,0.848,gcm
0.0801,0.0003,0.759,0.9041,0.9939,baseline,prepare+cubic,True,0.9999,melloy
0.997,1.5415,0.641,2.7049,0.3845,baseline,prepare+cubic,True,0.8282,murrays
1.0,0.0014,0.9377,1.1101,0.9774,baseline,prepare+cubic,True,0.9616,propak
0.9999,0.0003,0.915,0.8419,1.0,baseline,prepare+cubic,True,0.8918,reti_shell
0.8832,0.0007,0.931,1.1156,0.997,baseline,prepare+cubic,True,0.999,smjv
0.9999,0.0013,0.926,0.6723,0.9987,baseline,prepare+cubic,True,0.9724,spartan
0.9156,0.0,0.9331,1.0,1.0,baseline,prepare+cubic,True,1.0,swift_orange
1.0,0.0,0.9406,0.812,1.0,baseline,prepare+cubic,True,1.0,swift_orange_solid
1.0,0.0039,0.9538,1.1876,0.9862,baseline,prepare+cubic,True,1.0,tce
1.0,0.0044,0.9386,0.9569,0.9762,baseline,prepare+cubic,True,1.0,trialta
0.1168,0.0003,0.7701,0.9358,1.0,baseline,prepare+cubic,True,1.0,whitecap
1.0,0.0022,0.9482,1.0425,0.991,baseline,prepare+cubic,True,0.9986,worley
1.0,0.0011,0.9287,0.8017,0.9999,baseline,prepare+cubic,True,0.9556,worley_cord
1.0,0.0018,0.9229,0.7756,0.9822,baseline,prepare+cubic,True,0.9627,wpw
1.0,0.0435,0.764,0.7486,0.5681,vectorize,vectorize,True,0.9459,arc
0.9709,0.0007,0.8504,0.4893,0.9449,vectorize,vectorize,True,0.8047,arjae
1.0,0.0016,0.8819,0.5352,0.958,vectorize,vectorize,True,0.8805,bfl
0.5229,0.0,0.8418,0.8395,1.0,vectorize,vectorize,True,0.981,bfl_google
0.5462,0.0002,0.8448,0.7231,1.0,vectorize,vectorize,True,0.9976,bird
0.0001,0.0,0.7477,0.954,1.0,vectorize,vectorize,True,1.0,dhv
1.0,0.0028,0.8561,0.3824,0.956,vectorize,vectorize,True,0.8116,gcm
0.5541,0.0022,0.8392,0.6601,0.989,vectorize,vectorize,True,0.9986,melloy
,,,,,vectorize,vectorize_failed,False,,murrays
1.0,0.017,0.8743,0.8443,0.894,vectorize,vectorize,True,0.8902,propak
1.0,0.0042,0.8842,0.5582,0.9803,vectorize,vectorize,True,0.8561,reti_shell
1.0,0.0032,0.9091,0.9817,0.8878,vectorize,vectorize,True,0.9996,smjv
1.0,0.0038,0.8911,0.3426,0.9277,vectorize,vectorize,True,1.0,spartan
0.9294,0.0,0.9123,0.7267,0.9891,vectorize,vectorize,True,0.9754,swift_orange
1.0,0.001,0.9302,0.7443,0.9804,vectorize,vectorize,True,1.0,swift_orange_solid
1.0,0.0199,0.8777,0.8097,0.832,vectorize,vectorize,True,1.0,tce
1.0,0.0028,0.9013,0.8361,0.886,vectorize,vectorize,True,1.0,trialta
0.1037,0.0001,0.7623,0.8314,1.0,vectorize,vectorize,True,1.0,whitecap
1.0,0.0027,0.9172,0.9268,0.9183,vectorize,vectorize,True,0.9999,worley
1.0,0.0001,0.9031,0.414,0.9568,vectorize,vectorize,True,0.99,worley_cord
1.0,0.0041,0.8904,0.5508,0.9176,vectorize,vectorize,True,0.97,wpw
,,,,,esrgan,esrgan_failed,False,,arc
,,,,,esrgan,esrgan_failed,False,,arjae
,,,,,esrgan,esrgan_failed,False,,bfl
,,,,,esrgan,esrgan_failed,False,,bfl_google
,,,,,esrgan,esrgan_failed,False,,bird
,,,,,esrgan,esrgan_failed,False,,dhv
,,,,,esrgan,esrgan_failed,False,,gcm
,,,,,esrgan,esrgan_failed,False,,melloy
,,,,,esrgan,esrgan_failed,False,,murrays
,,,,,esrgan,esrgan_failed,False,,propak
,,,,,esrgan,esrgan_failed,False,,reti_shell
,,,,,esrgan,esrgan_failed,False,,smjv
,,,,,esrgan,esrgan_failed,False,,spartan
,,,,,esrgan,esrgan_failed,False,,swift_orange
,,,,,esrgan,esrgan_failed,False,,swift_orange_solid
,,,,,esrgan,esrgan_failed,False,,tce
,,,,,esrgan,esrgan_failed,False,,trialta
,,,,,esrgan,esrgan_failed,False,,whitecap
,,,,,esrgan,esrgan_failed,False,,worley
,,,,,esrgan,esrgan_failed,False,,worley_cord
,,,,,esrgan,esrgan_failed,False,,wpw
1.0,0.0011,0.901,1.0766,0.8754,gemini-off,prepare+cubic,True,0.964,arc
0.8878,0.0007,0.8852,0.7764,0.9996,gemini-off,prepare+cubic,True,0.8764,arjae
0.9954,0.0009,0.9142,0.7523,0.9982,gemini-off,prepare+cubic,True,0.9132,bfl
0.9767,0.0,0.7941,1.4702,0.5357,gemini-off,prepare+cubic,True,0.9509,bfl_google
0.5628,0.0004,0.8565,0.8889,1.0,gemini-off,prepare+cubic,True,0.9982,bird
0.99,0.8228,0.7936,1.6949,0.7454,gemini-off,prepare+cubic,True,1.0,dhv
0.9999,0.0011,0.8963,0.7021,0.9985,gemini-off,prepare+cubic,True,0.848,gcm
0.0801,0.0003,0.759,0.9041,0.9939,gemini-off,prepare+cubic,True,0.9999,melloy
0.997,1.5415,0.641,2.7049,0.3845,gemini-off,prepare+cubic,True,0.8282,murrays
1.0,0.0014,0.9377,1.1101,0.9774,gemini-off,prepare+cubic,True,0.9616,propak
0.9999,0.0003,0.915,0.8419,1.0,gemini-off,prepare+cubic,True,0.8918,reti_shell
0.8832,0.0007,0.931,1.1156,0.997,gemini-off,prepare+cubic,True,0.999,smjv
0.9999,0.0013,0.926,0.6723,0.9987,gemini-off,prepare+cubic,True,0.9724,spartan
0.9156,0.0,0.9331,1.0,1.0,gemini-off,prepare+cubic,True,1.0,swift_orange
1.0,0.0,0.9406,0.812,1.0,gemini-off,prepare+cubic,True,1.0,swift_orange_solid
1.0,0.0039,0.9538,1.1876,0.9862,gemini-off,prepare+cubic,True,1.0,tce
1.0,0.0044,0.9386,0.9569,0.9762,gemini-off,prepare+cubic,True,1.0,trialta
0.1168,0.0003,0.7701,0.9358,1.0,gemini-off,prepare+cubic,True,1.0,whitecap
1.0,0.0022,0.9482,1.0425,0.991,gemini-off,prepare+cubic,True,0.9986,worley
1.0,0.0011,0.9287,0.8017,0.9999,gemini-off,prepare+cubic,True,0.9556,worley_cord
1.0,0.0018,0.9229,0.7756,0.9822,gemini-off,prepare+cubic,True,0.9627,wpw
,,,,,gemini-on,gemini_unavailable,False,,arc
,,,,,gemini-on,gemini_unavailable,False,,arjae
,,,,,gemini-on,gemini_unavailable,False,,bfl
,,,,,gemini-on,gemini_unavailable,False,,bfl_google
,,,,,gemini-on,gemini_unavailable,False,,bird
,,,,,gemini-on,gemini_unavailable,False,,dhv
,,,,,gemini-on,gemini_unavailable,False,,gcm
,,,,,gemini-on,gemini_unavailable,False,,melloy
